"question 1 in English","same question 1, but translated to Ukrainian","question 2 in English","same question 2, but translated to Ukrainian"
"Cat","Кіт","Tiger","Тигр"
"Violin","Скрипка","Guitar","Гітара"
"Doctor","Лікар","Nurse","Медсестра"
"Beach","Пляж","Desert","Пустеля"
"Apple","Яблуко","Pear","Груша"
"Mountain","Гора","Hill","Пагорб"
"Train","Поїзд","Subway","Метро"
"Castle","Замок","Palace","Палац"
"Pirate","Пірат","Sailor","Моряк"
"Knife","Ніж","Scalpel","Скальпель"
"Police officer","Поліцейський","Security guard","Охоронець"
"Spider","Павук","Scorpion","Скорпіон"
"Rocket","Ракета","Airplane","Літак"
"Ship","Корабель","Submarine","Підводний човен"
"Penguin","Пінгвін","Puffin","Пуфін"
"Chef","Шеф-кухар","Baker","Пекар"
"Candle","Свічка","Lamp","Лампа"
"Snowman","Сніговик","Scarecrow","Опудало"
"Butter","Масло","Cheese","Сир"
"Soccer ball","Футбольний м’яч","Basketball","Баскетбол"
"Jungle","Джунглі","Forest","Ліс"
"Magazine","Журнал","Book","Книга"
"Bat","Кажан","Bird","Птах"
"Princess","Принцеса","Queen","Королева"
"Robot","Робот","Android","Андроїд"
"Hotel","Готель","Hostel","Хостел"
"Bus","Автобус","Tram","Трамвай"
"Doctor","Лікар","Scientist","Науковець"
"Volcano","Вулкан","Mountain","Гора"
"Ocean","Океан","Lake","Озеро"
"Toothbrush","Зубна щітка","Comb","Гребінець"
"Donut","Пончик","Croissant","Круасан"
"Soccer player","Футболіст","Tennis player","Тенісист"
"Librarian","Бібліотекар","Archivist","Архіваріус"
"Wizard","Чарівник","Magician","Фокусник"
"Tank","Танк","Jeep","Джип"
"Microscope","Мікроскоп","Telescope","Телескоп"
"Skier","Лижник","Snowboarder","Сноубордист"
"Planet","Планета","Moon","Місяць"
"Bee","Бджола","Wasp","Оса"
"Fireplace","Камін","Campfire","Багаття"
"Detective","Детектив","Spy","Шпигун"
"Pencil","Олівець","Pen","Ручка"
"Phone","Телефон","Walkie-talkie","Рація"
"Painter","Художник","Sculptor","Скульптор"
"Thief","Злодій","Assassin","Убивця"
"Map","Карта","Globe","Глобус"
"Refrigerator","Холодильник","Freezer","Морозильник"
"Cow","Корова","Buffalo","Буйвіл"
"Mirror","Дзеркало","Window","Вікно"
Dog,Собака,Wolf,Вовк
Coffee,Кава,Tea,Чай
Book,Книга,Notebook,Зошит
Beach,Пляж,Desert,Пустеля
Doctor,Лікар,Nurse,Медсестра
Love,Любов,Friendship,Дружба
iPhone,Айфон,Samsung Galaxy,Самсунг Галаксі
Einstein,Ейнштейн,Newton,Ньютон
Dragon,Дракон,Wyvern,Віверна
Sun,Сонце,Moon,Місяць
Pizza,Піца,Calzone,Кальцоне
Violin,Скрипка,Cello,Віолончель
Painting,Картина,Photograph,Фотографія
Laptop,Ноутбук,Tablet,Планшет
Jacket,Куртка,Coat,Пальто
Butter,Масло вершкове,Margarine,Маргарин
River,Річка,Canal,Канал
Forest,Ліс,Park,Парк
King,Король,President,Президент
Movie,Фільм,Play,Вистава
Sugar,Цукор,Salt,Сіль
Gold,Золото,Silver,Срібло
Milk,Молоко,Yogurt,Йогурт
Eagle,Орел,Hawk,Яструб
Bicycle,Велосипед,Scooter,Скутер
Sofa,Диван,Bench,Лавка
Orange,Апельсин,Mandarin,Мандарин
Pillow,Подушка,Bolster,Валик
Robot,Робот,Android,Андроїд
Detective,Детектив,Spy,Шпигун
Coffee,Кава,Espresso,Еспресо
Ocean,Океан,Sea,Море
Magazine,Журнал,Newspaper,Газета
Wine,Вино,Champagne,Шампанське
Pen,Ручка,Pencil,Олівець
Shirt,Сорочка,Blouse,Блузка
Planet,Планета,Star,Зірка
Lemon,Лимон,Lime,Лайм
Map,Карта,Globe,Глобус
Cake,Торт,Pie,Пиріг
Sculpture,Скульптура,Statue,Статуя
Keyboard,Синтезатор,Piano,Піаніно
Frog,Жаба,Toad,Ропуха
Bus,Автобус,Tram,Трамвай
Hat,Капелюх,Cap,Кепка
Island,Острів,Peninsula,Півострів
Honey,Мед,Syrup,Сироп
Glasses,Окуляри,Sunglasses,Сонячні окуляри
Boat,Човен,Ship,Корабель
Cloud,Хмара,Fog,Туман
"Albert Einstein","Альберт Ейнштейн","Bill Nye","Білл Най"
"Leonardo da Vinci","Леонардо да Вінчі","Vincent van Gogh","Вінсент ван Гог"
"Eiffel Tower","Ейфелева вежа","Leaning Tower of Pisa","Пізанська вежа"
"Mount Everest","Еверест","K2","К2"
"Coca-Cola","Кока-Кола","Pepsi","Пепсі"
"iPhone","Айфон","Samsung Galaxy","Самсунг Галаксі"
"Facebook","Фейсбук","Instagram","Інстаграм"
"Harry Potter","Гаррі Поттер","Percy Jackson","Персі Джексон"
"Mozart","Моцарт","Beethoven","Бетховен"
"Titanic","Титанік","Lusitania","Лузитанія"
"Lion","Лев","Tiger","Тигр"
"Eagle","Орел","Hawk","Яструб"
"Dolphin","Дельфін","Shark","Акула"
"Chef","Шеф-кухар","Baker","Пекар"
"Astronaut","Астронавт","Pilot","Пілот"
"Poet","Поет","Writer","Письменник"
"Hurricane","Ураган","Tornado","Торнадо"
"Blizzard","Хуртовина","Snowstorm","Снігова буря"
"Pizza","Піца","Burger","Бургер"
"Coffee","Кава","Tea","Чай"
"Chocolate","Шоколад","Vanilla","Ваніль"
"Bicycle","Велосипед","Scooter","Скутер"
